id,title,price,google_product_category,identifier_exists,brand,custom_label_0,custom_label_1,custom_label_2
1622,"Vparfum Delphinus 50 мл, амбровий парфум, ладан, мигдаль, рожевий перець",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,amber
1623,"Vparfum Delphinus 10 мл тестер, амбровий парфум, ладан, мигдаль, рожевий перець",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,amber
1624,"Vparfum Red Tobacco 100 мл, східний парфум, біла груша, зелене яблуко, кориця, ладан",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,oriental
1625,"Vparfum Red Tobacco 50 мл, східний парфум, біла груша, зелене яблуко, кориця, ладан",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,oriental
1626,"Vparfum Red Tobacco 10 мл тестер, східний парфум, біла груша, зелене яблуко, кориця, ладан",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,oriental
1627,"Vparfum B683 100 мл, деревинні парфум, мускатний горіх, червоний перець, чорний перець, шафран",1600.00 UAH,479,no,Vparfum,100ml,personal_parfum,derevynni
1628,"Vparfum B683 50 мл, деревинні парфум, мускатний горіх, червоний перець, чорний перець, шафран",850.00 UAH,479,no,Vparfum,50ml,personal_parfum,derevynni
1629,"Vparfum B683 10 мл тестер, деревинні парфум, мускатний горіх, червоний перець, чорний перець, шафран",260.00 UAH,479,no,Vparfum,10ml,personal_parfum,derevynni
1630,"Vparfum Arabians Tonka 100 мл, деревинні парфум, бергамот, шафран",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,derevynni
1631,"Vparfum Arabians Tonka 50 мл, деревинні парфум, бергамот, шафран",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,derevynni
1632,"Vparfum Arabians Tonka 10 мл тестер, деревинні парфум, бергамот, шафран",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,derevynni
1633,"Vparfum Narcotic Delight 100 мл, гурманський парфум, вишня, рожевий перець, чорний перець",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,gourmand
1634,"Vparfum Narcotic Delight 50 мл, гурманський парфум, вишня, рожевий перець, чорний перець",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,gourmand
1635,"Vparfum Narcotic Delight 10 мл тестер, гурманський парфум, вишня, рожевий перець, чорний перець",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,gourmand
1636,"Vparfum Eden Sparkling Lychee 100 мл, квітковий парфум, італійський лимон, лічі, чорна смородина",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,floral
1637,"Vparfum Eden Sparkling Lychee 50 мл, квітковий парфум, італійський лимон, лічі, чорна смородина",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,floral
1638,"Vparfum Eden Sparkling Lychee 10 мл тестер, квітковий парфум, італійський лимон, лічі, чорна смородина",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,floral
1659,"Vparfum Old Fashioned 100 мл, східний парфум, давана, пшениця",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,oriental
1660,"Vparfum Old Fashioned 50 мл, східний парфум, давана, пшениця",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,oriental
